word;part_of_speech;target_word;target_part_of_speech
men;NNS;men;NNS
women;NNS;women;NNS
teeth;NNS;teeth;NNS
feet;NNS;feet;NNS
geese;NNS;geese;NNS
mice;NNS;mice;NNS
lice;NNS;lice;NNS
children;NNS;children;NNS
oxen;NNS;oxen;NNS
sheep;NNS;sheep;NNS
swine;NNS;swine;NNS
deer;NNS;deer;NNS
grouse;NNS;grouse;NNS
series;NNS;series;NNS
species;NNS;species;NNS
corps;NNS;corps;NNS
bases;NNS;bases;NNS
crises;NNS;crises;NNS
phenomena;NNS;phenomena;NNS
stimuli;NNS;stimuli;NNS
formulae;NNS;formulae;NNS
data;NNS;data;NNS
indices;NNS;indices;NNS
bureaux;NNS;bureaux;NNS
scissors;ANY;scissors;NNS
scales;ANY;scales;NNS
spectacles;ANY;spectacles;NNS
trousers;ANY;trousers;NNS
customs;ANY;customs;NNS
outskirts;ANY;outskirts;NNS
annals;ANY;annals;NNS
goods;ANY;goods;NNS
contents;ANY;contents;NNS
clothes;ANY;clothes;NNS
proceeds;ANY;proceeds;NNS
wages;ANY;wages;NNS
riches;ANY;riches;NNS
people;NNS;people;NNS
