id;title;author;source;text;public_book
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;Principal Baht radical;true
2;synthesizing Director Concrete;Sleek Rubber Mouse generate;Designer calculating;Overpass toolset;true
3;Texas auxiliary;Pula redefine Paradigm;Optimization secondary driver;Soft Alaska;false
4;quantify;bleeding-edge payment violet;deposit;Mouse bus HTTP;true
5;mobile optical;methodologies Yen;application;withdrawal payment;false
6;panel;transmitting grow;Practical Granite Chicken;generate Health deposit;false
7;CSS Soft;Chicken indigo;Personal Loan Account;hard drive SQL Personal Loan Account;false
8;Web Checking Account Industrial;back-end Future-proofed compressing;Table green Dominica;Shoes parse world-class;true
9;salmon primary;e-tailers Som Dynamic;Clothing alarm Alaska;Oklahoma;true
10;Health solid state;Saint Kitts and Nevis;Zloty secondary;quantify;true
