id;word;translate;part_of_speech
1;Cuban Peso Peso Convertible;USB visionary;integrated Executive invoice
2;Incredible Legacy Functionality;Communications neural-net;Borders deposit mobile
3;yellow;Pizza;Russian Federation
4;Integration;override payment;deposit Mozambique Personal Loan Account
5;Executive engineer;green navigate;Optimization Auto Loan Account Nicaragua
6;Syrian Pound Avon magenta;redundant Global;intranet syndicate deposit
7;Soft Communications;Associate;motivating copy
8;Concrete Michigan deposit;dynamic white interface;Auto Loan Account
9;Switchable withdrawal;Rwanda Franc Vietnam Idaho;Ergonomic Ergonomic
10;experiences;Sleek payment sensor;Chips action-items
